,Area Name,Price
0,Yonge-St-Clair,['1.2']
1,York-University-Heights,[0.801]
2,Lansing-Westgate,['1.1']
3,,['']
4,Stonegate-Queensway,['1.3']
5,Tam-OShanter-Sullivan,[0.957]
6,The-Beaches,['1.6']
7,Thistletown-Beaumonde-Heights,[0.786]
8,Thorncliffe-Park,[0]
9,Danforth-East-York,['']
10,Humewood-Cedarvale,['1.7']
11,Islington-City-Centre-West,[0.675]
12,Danforth,['1.2']
13,Rustic,[0.813]
14,Scarborough-Village,[0.85]
15,South-Parkdale,['1.0']
16,South-Riverdale,['1.2']
17,St-Andrew-Windfields,['2.6']
18,Taylor-Massey,['']
19,Humber-Summit,[0.742]
20,Humbermede,['1.0']
21,Centennial-Scarborough,[0.807]
22,Church-Yonge-Corridor,[0.652]
23,Clairlea-Birchmount,[0.927]
24,Cliffcrest,[0.819]
25,Flemingdon-Park,[0.592]
26,Corso-Italia-Davenport,['1.0']
27,Ionview,[0.612]
28,Junction-Area,[0.933]
29,Broadview-North,['1.0']
30,Princess-Rosethorn,['2.1']
31,North-Riverdale,['1.4']
32,Etobicoke-West-Mall,[0.607]
33,Forest-Hill-North,['2.4']
34,Glenfield-Jane-Heights,[0.646]
35,Greenwood-Coxwell,['1.0']
36,Guildwood,[0.824]
37,Trinity-Bellwoods,['1.6']
38,Victoria-Village,[0.717]
39,waterfront-communities-c8,['']
40,West-Hill,[0.788]
41,West-Humber-Clairville,[0.643]
42,Westminster-Branson,[0.781]
43,Kennedy-Park,[0.543]
44,Kingsview-Village-The-Westway,[0.748]
45,Bayview-Woods-Steeles,[0.97]
46,Clanton-Park,[0.935]
47,Keelesdale-Eglinton-West,[0.7]
48,OConnor-Parkview,['1.2']
49,Old-East-York,['']
50,Casa-Loma,['1.7']
51,Kensington-Chinatown,[0.89]
52,Kingsway-South,['1.7']
53,Runnymede-Bloor-West-Village,['1.3']
54,Forest-Hill-South,['2.3']
55,Henry-Farm,[0.605]
56,Annex,['1.8']
57,Caledonia-Fairbank,[0.91]
58,Humber-Heights-Westmount,['']
59,Roncesvalles,['1.3']
60,University,[0.792]
61,Hillcrest-Village,[0.8]
62,Mount-Dennis,[0.553]
63,Dorset-Park,[0.641]
64,Edenbridge-Humber-Valley,['1.4']
65,Dovercourt-Wallace-Emerson-Junction,['1.2']
66,Newtonbrook-West,['1.1']
67,Niagara,[0.732]
68,Beechborough-Greenbrook,[0.945]
69,High-Park-North,['1.3']
70,High-Park-Swansea,[0.949]
71,Highland-Creek,['1.1']
72,North-St-James-Town,[0.776]
73,Oakridge,[0.825]
74,Rosedale-Moore-Park,['1.9']
75,oakwood-vaughan,[0]
76,Wexford-Maryvale,[0.902]
77,Eglinton-East,[0.547]
78,Elms-Old-Rexdale,[0.551]
79,Agincourt-North,[0.767]
80,Agincourt-South-Malvern-West,[0.88]
81,Englemount-Lawrence,['1.3']
82,Eringate-Centennial-West-Deane,[0.891]
83,LAmoreaux,[0.659]
84,Banbury-Don-Mills,[0.933]
85,Bathurst-Manor,[0.991]
86,Alderwood,[0.952]
87,Regent-Park,[0.641]
88,Bendale,[0.699]
89,Birchcliffe-Cliffside,['1.1']
90,Weston-Pellam-Park,[0.86]
91,Downsview-Roding-CFB,['2.5']
92,Lambton-Baby-Point,['1.5']
93,Bay-Street-Corridor,[0.881]
94,Black-Creek,[0.475]
95,Willowdale-East,[0.785]
96,Willowdale-West,[0.977]
97,Rouge,['']
98,Mount-Olive-Silverstone-Jamestown,[0.665]
99,Cabbagetown-South-St-James-Town,[0.996]
100,Mount-Pleasant-East,['1.4']
101,Mount-Pleasant-West,[0.819]
102,Blake-Jones,['1.2']
103,Rexdale-Kipling,[0.57]
104,East-End-Danforth,['1.2']
105,New-Toronto,['1.4']
106,Palmerston-Little-Italy,['2.1']
107,Parkwoods-Donalda,[0.925]
108,Pelmo-Park-Humberlea,['']
109,Playter-Estates-Danforth,[0]
110,Willowridge-Martingrove-Richview,['1.3']
111,Woburn,['1.0']
112,Woodbine-Lumsden,['1.0']
113,Bayview-Village,[0.816]
114,Bedford-Park-Nortown,['2.0']
115,Rockcliffe-Smythe,[0.726]
116,Bridle-Path-Sunnybrook-York-Mills,['3.1']
117,Don-Valley-Village,[0.928]
118,Weston,[0.821]
119,Lawrence-Park-South,['2.4']
120,Brookhaven-Amesbury,[0.658]
121,Long-Branch,['1.1']
122,Malvern,[0.681]
123,Dufferin-Grove,['1.1']
124,Maple-Leaf,['1.1']
125,Markland-Wood,[0.909]
126,Steeles,[0.699]
127,Lawrence-Park-North,['1.7']
128,Yonge-Eglinton,['1.4']
129,Mimico,[0.826]
130,Morningside,[0.626]
131,Moss-Park,[0.876]
132,Little-Portugal,[0.784]
133,Woodbine-Corridor,['1.2']
134,Newtonbrook-East,['1.1']
135,Milliken,[0.675]
136,Pleasant-View,[0.976]
137,Wychwood,['1.4']
138,Leaside-Bennington,['']
139,Briar-Hill-Belgravia,[0.702]
