Location,price,percentIncrease
Toronto C12,1843578.2652173913,7.975942028985508
Toronto C04,1469899.9144927536,8.171014492753622
Toronto C03,1468390.5710144928,9.835942028985507
Toronto C09,1247968.5594202897,7.8450724637681155
Toronto C02,1208694.624637681,7.578985507246378
Toronto C06,1038549.0666666665,9.328985507246378
Toronto C10,1016822.2579710145,8.342173913043478
Toronto E02,1015687.1521739131,9.01695652173913
Richmond Hill,991888.2971014492,8.619420289855073
Oakville,985640.2304347827,10.068260869565218
Toronto W07,981559.7434782608,8.92840579710145
Toronto E01,978393.3231884057,10.569855072463769
King,968065.4057971014,7.909710144927536
Toronto W02,955966.1405797101,9.031884057971014
Toronto W01,934274.6275362319,9.209420289855073
Whitchurch-Stouffville,924532.852173913,8.26855072463768
Markham,920681.9202898551,8.429710144927537
Vaughan,910928.6768115943,8.707826086956523
Toronto C11,886902.0579710145,10.381594202898551
York Region,876252.4014492754,8.698260869565217
Toronto C13,874863.6231884058,9.679420289855072
Toronto C07,858336.7739130434,9.616811594202897
Halton Region,850000.3362318841,10.932753623188406
Toronto W08,843987.5927536231,9.48
Aurora,840722.9739130435,9.698260869565217
Toronto C14,835513.9318840579,9.278115942028984
City of Toronto,814479.5,9.90623188405797
Toronto E03,794775.5942028986,9.976086956521739
Toronto C15,789505.2405797101,8.612173913043478
Caledon,782348.0478260869,10.384057971014492
East Gwillimbury,765956.8202898551,9.275797101449275
TREB Total,760070.1739130435,10.188115942028986
Burlington,742365.995652174,11.560144927536232
Bradford West Gwillimbury,730499.6533333334,17.812
Milton,727685.0884057971,10.75159420289855
Toronto E06,725936.3188405797,9.285797101449276
Halton Hills,725908.6913043478,10.554202898550725
Toronto E10,721848.1942028985,10.031159420289855
Mississauga,717424.7072463768,10.457971014492754
Toronto W03,707739.2710144928,10.490289855072465
Newmarket,698981.963768116,9.028115942028984
Peel Region,683919.5782608695,10.996376811594203
Toronto C01,671450.968115942,10.176376811594203
Adjala-Tosorontio,671129.1188405798,10.08391304347826
Uxbridge,668581.8710144928,10.295652173913043
Toronto C08,651072.7188405797,9.039275362318842
Pickering,646308.8,10.499710144927537
Toronto E05,643620.9985507246,9.612173913043478
Toronto W04,639841.2884057971,11.932318840579711
Toronto E04,636797.4231884058,10.948260869565217
Toronto E07,633820.4115942029,9.284782608695652
Toronto E08,618830.7608695652,11.60463768115942
Brampton,617613.8782608695,11.780724637681159
Whitby,614124.136231884,11.389565217391304
Toronto W06,609011.1666666666,9.962463768115942
Ajax,595218.2101449275,11.10231884057971
Bradford West,593117.4500000001,10.021296296296295
Essa,587816.44,18.185333333333332
Toronto E09,587466.8478260869,11.087971014492755
Toronto W09,585076.2260869566,10.593333333333334
Orangeville,568875.6115942029,13.007826086956522
Dufferin County,568868.3652173914,13.007826086956522
Scugog,560284.8898550725,9.645942028985507
Durham Region,553368.3942028986,11.84072463768116
Toronto W10,551122.1173913043,12.997101449275362
Toronto W05,550734.8971014492,12.453333333333333
Toronto E11,525621.1425925926,12.033148148148147
Simcoe County,524455.6826086957,11.408840579710146
Clarington,491613.7826086957,12.429130434782609
GEswsiallimbury,491350.93076923076,13.317692307692308
New Tecumseth,484127.97777777776,10.364074074074074
Innisfil,469316.8072463768,11.406521739130435
Georgina,463161.41014492756,11.01855072463768
EGswsiallimbury,462936.06097560975,10.048536585365854
Oshawa,458086.2652173913,13.431304347826087
Brock,353993.2855072464,11.31
Barrie,0.0,
